address,type,size,name,comment
0x004b5950,global,16,IID_IDirectInputDevice2A,
0x004b5980,global,16,GUID_XAxis,
0x004b5990,global,16,GUID_YAxis,
0x004b59a0,global,16,GUID_ZAxis,
0x004b59b0,global,16,GUID_RxAxis,
0x004b59c0,global,16,GUID_RyAxis,
0x004b59d0,global,16,GUID_RzAxis,
0x004b59e0,global,16,GUID_Slider,
0x004b5a30,global,16,GUID_SysMouse,
0x004b5a40,global,16,GUID_SysKeyboard,
0x004b5a90,global,16,GUID_Sine,
0x004a6990,global,2624,c_rgodfDIJoystick2,DIOBJECTDATAFORMAT[164]
0x004a73d0,global,24,c_dfDIJoystick2,DIDATAFORMAT
0x004a73f0,global,4096,c_rgodfDIKeyboard,DIOBJECTDATAFORMAT[256]
0x004a83f0,global,24,c_dfDIKeyboard,DIDATAFORMAT
0x004a8410,global,112,c_rgodfDIMouse,DIOBJECTDATAFORMAT[7]
0x004a8480,global,24,c_dfDIMouse,DIDATAFORMAT
